Month,Dataset,SKU,Actual,Predicted,Iteration
2023-04-01,Train,df_54_comsubs_PRCollagen,2,1.96,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-05-01,Train,df_54_comsubs_PRCollagen,2,2.05,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-06-01,Train,df_54_comsubs_PRCollagen,1,1.14,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-07-01,Train,df_54_comsubs_PRCollagen,3,2.4000000000000004,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-08-01,Train,df_54_comsubs_PRCollagen,1,1.28,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-09-01,Train,df_54_comsubs_PRCollagen,2,1.9,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-10-01,Train,df_54_comsubs_PRCollagen,2,1.65,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-11-01,Train,df_54_comsubs_PRCollagen,1,1.1099999999999999,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-12-01,Train,df_54_comsubs_PRCollagen,1,0.81,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-01-01,Train,df_54_comsubs_PRCollagen,0,0.19,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-02-01,Train,df_54_comsubs_PRCollagen,0,0.22,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-03-01,Train,df_54_comsubs_PRCollagen,1,0.7200000000000001,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-04-01,Train,df_54_comsubs_PRCollagen,0,0.060000000000000005,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-05-01,Train,df_54_comsubs_PRCollagen,0,0.03,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-06-01,Train,df_54_comsubs_PRCollagen,0,0.05,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
